DROGARIA DE JESUS LTDA;;;;;;;
;Razão Consolidado ;;;;;Período: 01/01/2020 a 31/12/2024;
;;;;;;;
;;;;;;;
Data;Histórico;Contrap.;Chave;Débito;Crédito;Saldo;
Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;;
10/05/2024;PAGAMENTO DUPLICATA Nº 1066 ;92;0524-00001428;95,00;; 460,00D;
10/06/2024;PAGAMENTO DUPLICATA Nº 1134 ;92;0624-00001502;95,00;; 555,00D;
10/07/2024;PAGAMENTO DUPLICATA Nº 1203 ;92;0724-00001460;95,00;; 650,00D;
10/08/2024;PAGAMENTO DUPLICATA Nº 1273 ;92;0824-00001399;97,08;; 747,08D;
10/09/2024;PAGAMENTO DUPLICATA Nº 1340 ;92;0924-00001484;97,59;; 844,67D;
10/10/2024;PAGAMENTO DUPLICATA Nº 1409 ;92;1024-00001449;97,59;; 942,26D;
10/11/2024;PAGAMENTO DUPLICATA Nº 1481 ;92;1124-00001494;97,50;; 1.039,76D;
10/12/2024;PAGAMENTO DUPLICATA Nº 1552 ;92;1224-00001375;97,09;; 1.136,85D;
;;;;;;;
Conta:;8282 - 2.1.1.01.001 - BIO PROJETOS SUSTENTAVEIS EIRELI - EPP;;;;;;
04/01/2024;PAGAMENTO DUPLICATA Nº 56149 ;92;0124-00001033;86,82;; 86,82D;
09/02/2024;PAGAMENTO DUPLICATA Nº 57783 ;92;0224-00000973;80,00;; 166,82D;
08/03/2024;PAGAMENTO DUPLICATA Nº 59158 ;92;0324-00001125;80,00;; 246,82D;
05/04/2024;PAGAMENTO DUPLICATA Nº 60588 ;92;0424-00001335;80,00;; 326,82D;
09/05/2024;PAGAMENTO DUPLICATA Nº 62101 ;92;0524-00001427;80,00;; 406,82D;
07/06/2024;PAGAMENTO DUPLICATA Nº 63548 ;92;0624-00001501;80,00;; 486,82D;
10/07/2024;PAGAMENTO DUPLICATA Nº 65211 ;92;0724-00001459;80,00;; 566,82D;
09/08/2024;PAGAMENTO DUPLICATA Nº 66670 ;92;0824-00001398;80,00;; 646,82D;
17/10/2024;PAGAMENTO DUPLICATA Nº 70088 ;92;1024-00001448;80,00;; 726,82D;
08/11/2024;PAGAMENTO DUPLICATA Nº 71205 ;92;1124-00001493;80,00;; 806,82D;
06/12/2024;PAGAMENTO DUPLICATA Nº 72692 ;92;1224-00001374;80,00;; 886,82D;
;;;;;;;
Conta:;5795 - 2.1.1.01.001 - BN DE ALMEIDA COMERCIO DE COSMETICOS ME;;;;;;
21/04/2024;NOTA FISCAL Nº 8502 ;3152;0424-00001376;;317,42;317,42C;
07/07/2024;PAGAMENTO DUPLICATA Nº 8502 ;92;0724-00001183;317,42;;0,00C;
;;;;;;;
Conta:;6567 - 2.1.1.01.001 - BRAS COMERCIO E PREST DE SERV EIRELI;;;;;;
18/01/2023;NOTA FISCAL Nº 21613 ;3152;0123-00000755;;349,50;349,50C;
11/03/2023;NOTA FISCAL Nº 21714 ;3152;0323-00000725;;1.054,35;1.403,85C;
13/04/2023;NOTA FISCAL Nº 21811 ;3152;0423-00000734;;305,82;1.709,67C;
13/04/2023;NOTA FISCAL Nº 21826 ;3152;0423-00000735;;338,00;2.047,67C;
08/05/2023;NOTA FISCAL Nº 21923 ;3152;0523-00000760;;639,60;2.687,27C;
10/05/2023;NOTA FISCAL Nº 21929 ;3152;0523-00000759;;639,60;3.326,87C;
;;;;;;;
Conta:;5805 - 2.1.1.01.001 - BRASAL REFRIGERANTES S A;;;;;;
09/01/2023;NOTA FISCAL Nº 14520296 ;3152;0123-00000759;;634,80;634,80C;
16/01/2023;NOTA FISCAL Nº 14534507 ;3152;0123-00000760;;378,87;1.013,67C;
30/01/2023;NOTA FISCAL Nº 14567761 ;3152;0123-00000761;;171,72;1.185,39C;
06/02/2023;NOTA FISCAL Nº 14583364 ;3152;0223-00000698;;158,54;1.343,93C;
13/02/2023;NOTA FISCAL Nº 14599497 ;3152;0223-00000699;;253,81;1.597,74C;
22/02/2023;NOTA FISCAL Nº 14616989 ;3152;0223-00000697;;564,36;2.162,10C;
27/02/2023;NOTA FISCAL Nº 14631985 ;3152;0223-00000700;;183,44;2.345,54C;
06/03/2023;NOTA FISCAL Nº 14647452 ;3152;0323-00000727;;290,39;2.635,93C;
14/03/2023;NOTA FISCAL Nº 14663261 ;3152;0323-00000726;;175,39;2.811,32C;
03/04/2023;NOTA FISCAL Nº 14714856 ;3152;0423-00000736;;420,22;3.231,54C;
10/04/2023;NOTA FISCAL Nº 14727114 ;3152;0423-00000737;;111,68;3.343,22C;
17/04/2023;NOTA FISCAL Nº 14744527 ;3152;0423-00000738;;437,72;3.780,94C;
02/05/2023;NOTA FISCAL Nº 14780473 ;3152;0523-00000763;;518,94;4.299,88C;
15/05/2023;NOTA FISCAL Nº 14808714 ;3152;0523-00000762;;355,26;4.655,14C;
22/05/2023;NOTA FISCAL Nº 14826097 ;3152;0523-00000761;;589,48;5.244,62C;
13/06/2023;NOTA FISCAL Nº 14875603 ;3152;0623-00000717;;394,79;5.639,41C;
19/06/2023;NOTA FISCAL Nº 14893780 ;3152;0623-00000718;;314,55;5.953,96C;
04/07/2023;NOTA FISCAL Nº 14928358 ;3152;0723-00000734;;350,86;6.304,82C;
10/07/2023;NOTA FISCAL Nº 14943818 ;3152;0723-00000735;;324,40;6.629,22C;
17/07/2023;NOTA FISCAL Nº 14960875 ;3152;0723-00000731;;156,76;6.785,98C;
24/07/2023;NOTA FISCAL Nº 14978776 ;3152;0723-00000733;;273,50;7.059,48C;
31/07/2023;NOTA FISCAL Nº 14998269 ;3152;0723-00000732;;355,57;7.415,05C;
07/08/2023;NOTA FISCAL Nº 15013810 ;3152;0823-00000728;;220,42;7.635,47C;
14/08/2023;NOTA FISCAL Nº 15032038 ;3152;0823-00000726;;329,50;7.964,97C;
21/08/2023;NOTA FISCAL Nº 15050209 ;3152;0823-00000727;;279,71;8.244,68C;
28/08/2023;NOTA FISCAL Nº 15069503 ;3152;0823-00000729;;316,63;8.561,31C;
04/09/2023;NOTA FISCAL Nº 15086883 ;3152;0923-00000726;;324,49;8.885,80C;
11/09/2023;NOTA FISCAL Nº 15104129 ;3152;0923-00000725;;380,84;9.266,64C;
18/09/2023;NOTA FISCAL Nº 15122815 ;3152;0923-00000727;;202,90;9.469,54C;
26/09/2023;NOTA FISCAL Nº 15143501 ;3152;0923-00000724;;363,22;9.832,76C;
03/10/2023;NOTA FISCAL Nº 15164296 ;3152;1023-00000583;;310,63;10.143,39C;
10/10/2023;NOTA FISCAL Nº 15180866 ;3152;1023-00000582;;444,08;10.587,47C;
30/10/2023;NOTA FISCAL Nº 15236302 ;3152;1023-00000584;;853,30;11.440,77C;
07/11/2023;NOTA FISCAL Nº 15250543 ;3152;1123-00000439;;189,81;11.630,58C;
13/11/2023;NOTA FISCAL Nº 15269992 ;3152;1123-00000440;;364,04;11.994,62C;
20/11/2023;NOTA FISCAL Nº 15289430 ;3152;1123-00000441;;141,92;12.136,54C;
06/12/2023;NOTA FISCAL Nº 15326558 ;3152;1223-00000215;;247,94;12.384,48C;
12/12/2023;NOTA FISCAL Nº 15343364 ;3152;1223-00000214;;368,47;12.752,95C;
20/12/2023;NOTA FISCAL Nº 15361791 ;3152;1223-00000212;;363,17;13.116,12C;
26/12/2023;NOTA FISCAL Nº 15382075 ;3152;1223-00000213;;485,03;13.601,15C;
02/01/2024;PAGAMENTO DUPLICATA Nº 15361791 ;92;0124-00000621;363,17;;13.237,98C;
05/01/2024;NOTA FISCAL Nº 15396441 ;3152;0124-00001068;;306,44;13.544,42C;
10/01/2024;PAGAMENTO DUPLICATA Nº 15382075 ;92;0124-00000622;485,03;;13.059,39C;
11/01/2024;NOTA FISCAL Nº 15407123 ;3152;0124-00001069;;602,06;13.661,45C;
17/01/2024;PAGAMENTO DUPLICATA Nº 15396441 ;92;0124-00000623;306,44;;13.355,01C;
23/01/2024;PAGAMENTO DUPLICATA Nº 15407123 ;92;0124-00000624;602,06;;12.752,95C;
30/01/2024;NOTA FISCAL Nº 15439168 ;3152;0124-00001070;;208,88;12.961,83C;
01/02/2024;NOTA FISCAL Nº 15458318 ;3152;0224-00001003;;213,62;13.175,45C;
06/02/2024;PAGAMENTO DUPLICATA Nº 15439168 ;92;0224-00000593;215,35;;12.960,10C;
14/02/2024;PAGAMENTO DUPLICATA Nº 15458318 ;92;0224-00000594;219,45;;12.740,65C;
26/02/2024;NOTA FISCAL Nº 15523405 ;3152;0224-00001004;;780,01;13.520,66C;
11/03/2024;NOTA FISCAL Nº 15558351 ;3152;0324-00001159;;288,27;13.808,93C;
12/03/2024;PAGAMENTO DUPLICATA Nº 15523405 ;92;0324-00000750;824,20;;12.984,73C;
26/03/2024;PAGAMENTO DUPLICATA Nº 15558351 ;92;0324-00000751;296,15;;12.688,58C;
03/04/2024;NOTA FISCAL Nº 15612199 ;3152;0424-00001378;;462,93;13.151,51C;
08/04/2024;NOTA FISCAL Nº 15628374 ;3152;0424-00001379;;240,86;13.392,37C;
15/04/2024;NOTA FISCAL Nº 15649090 ;3152;0424-00001377;;351,31;13.743,68C;
16/04/2024;PAGAMENTO DUPLICATA Nº 15612199 ;92;0424-00000899;477,28;;13.266,40C;
23/04/2024;PAGAMENTO DUPLICATA Nº 15628374 ;92;0424-00000900;253,62;;13.012,78C;
30/04/2024;PAGAMENTO DUPLICATA Nº 15649090 ;92;0424-00000898;351,31;;12.661,47C;
31/05/2024;NOTA FISCAL Nº 15769948 ;3152;0524-00001467;;818,09;13.479,56C;
14/06/2024;PAGAMENTO DUPLICATA Nº 15769948 ;92;0624-00001143;876,44;;12.603,12C;
19/08/2024;NOTA FISCAL Nº 15975309 ;3152;0824-00001436;;816,35;13.419,47C;
03/09/2024;PAGAMENTO DUPLICATA Nº 15975309 ;92;0924-00001254;883,56;;12.535,91C;
17/10/2024;NOTA FISCAL Nº 16138431 ;3152;1024-00001483;;440,98;12.976,89C;
01/11/2024;PAGAMENTO DUPLICATA Nº 16138431 ;92;1124-00001252;470,81;;12.506,08C;
;;;;;;;
Conta:;5329 - 2.1.1.01.001 - BRASSOL BRASILIA ALIMENTOS E SORVETES LTDA;;;;;;
08/03/2023;NOTA FISCAL Nº 845665 ;3152;0323-00000728;;75,15;75,15C;
08/03/2023;NOTA FISCAL Nº 845665 ;3152;0323-00000729;;831,78;906,93C;
08/03/2023;NOTA FISCAL Nº 845649 ;3152;0323-00000730;;1.050,11;1.957,04C;
15/03/2023;NOTA FISCAL Nº 845676 ;3152;0323-00000731;;233,07;2.190,11C;
20/04/2023;NOTA FISCAL Nº 856730 ;3152;0423-00000739;;67,62;2.257,73C;
20/04/2023;NOTA FISCAL Nº 856730 ;3152;0423-00000740;;838,15;3.095,88C;
04/05/2023;NOTA FISCAL Nº 859569 ;3152;0523-00000766;;1.576,85;4.672,73C;
10/05/2023;NOTA FISCAL Nº 861723 ;3152;0523-00000764;;76,02;4.748,75C;
10/05/2023;NOTA FISCAL Nº 861723 ;3152;0523-00000767;;224,43;4.973,18C;
17/05/2023;NOTA FISCAL Nº 863772 ;3152;0523-00000765;;614,71;5.587,89C;
23/06/2023;NOTA FISCAL Nº 872727 ;3152;0623-00000719;;103,57;5.691,46C;
23/06/2023;NOTA FISCAL Nº 872728 ;3152;0623-00000720;;332,61;6.024,07C;
23/06/2023;NOTA FISCAL Nº 872727 ;3152;0623-00000721;;89,13;6.113,20C;
05/07/2023;NOTA FISCAL Nº 876259 ;3152;0723-00000737;;262,65;6.375,85C;
26/07/2023;NOTA FISCAL Nº 881431 ;3152;0723-00000736;;101,36;6.477,21C;
26/07/2023;NOTA FISCAL Nº 881430 ;3152;0723-00000738;;457,76;6.934,97C;
26/07/2023;NOTA FISCAL Nº 881431 ;3152;0723-00000739;;270,22;7.205,19C;
16/08/2023;NOTA FISCAL Nº 887407 ;3152;0823-00000730;;50,68;7.255,87C;
16/08/2023;NOTA FISCAL Nº 887414 ;3152;0823-00000731;;689,11;7.944,98C;
16/08/2023;NOTA FISCAL Nº 887407 ;3152;0823-00000732;;401,51;8.346,49C;
13/09/2023;NOTA FISCAL Nº 894879 ;3152;0923-00000728;;76,02;8.422,51C;
13/09/2023;NOTA FISCAL Nº 894879 ;3152;0923-00000729;;322,54;8.745,05C;
13/09/2023;NOTA FISCAL Nº 894880 ;3152;0923-00000730;;228,88;8.973,93C;
05/10/2023;NOTA FISCAL Nº 901004 ;3152;1023-00000585;;101,36;9.075,29C;
05/10/2023;NOTA FISCAL Nº 901004 ;3152;1023-00000586;;176,49;9.251,78C;
05/10/2023;NOTA FISCAL Nº 901005 ;3152;1023-00000587;;235,43;9.487,21C;
09/11/2023;NOTA FISCAL Nº 911539 ;3152;1123-00000443;;76,02;9.563,23C;
09/11/2023;NOTA FISCAL Nº 911540 ;3152;1123-00000445;;245,23;9.808,46C;
09/11/2023;NOTA FISCAL Nº 911539 ;3152;1123-00000446;;226,02;10.034,48C;
24/11/2023;NOTA FISCAL Nº 915811 ;3152;1123-00000442;;101,36;10.135,84C;
24/11/2023;NOTA FISCAL Nº 915811 ;3152;1123-00000444;;534,84;10.670,68C;
24/11/2023;NOTA FISCAL Nº 915810 ;3152;1123-00000447;;686,65;11.357,33C;
18/12/2023;NOTA FISCAL Nº 922218 ;3152;1223-00000216;;614,70;11.972,03C;
18/01/2024;NOTA FISCAL Nº 929847 ;3152;0124-00001071;;104,92;12.076,95C;
18/01/2024;NOTA FISCAL Nº 929844 ;3152;0124-00001072;;942,50;13.019,45C;
18/01/2024;NOTA FISCAL Nº 929847 ;3152;0124-00001073;;595,01;13.614,46C;
23/01/2024;PAGAMENTO DUPLICATA Nº 929844 ;92;0124-00000613;963,21;;12.651,25C;
23/01/2024;PAGAMENTO DUPLICATA Nº 929847 ;92;0124-00000614;715,30;;11.935,95C;
07/02/2024;NOTA FISCAL Nº 937803 ;3152;0224-00001005;;104,92;12.040,87C;
07/02/2024;NOTA FISCAL Nº 937803 ;3152;0224-00001006;;373,34;12.414,21C;
20/02/2024;PAGAMENTO DUPLICATA Nº 937803 ;92;0224-00000572;478,26;;11.935,95C;
11/03/2024;NOTA FISCAL Nº 945407 ;3152;0324-00001163;;211,89;12.147,84C;
20/03/2024;PAGAMENTO DUPLICATA Nº 945407 ;92;0324-00000730;212,45;;11.935,39C;
21/03/2024;NOTA FISCAL Nº 949954 ;3152;0324-00001160;;104,92;12.040,31C;
21/03/2024;NOTA FISCAL Nº 949954 ;3152;0324-00001161;;848,95;12.889,26C;
21/03/2024;NOTA FISCAL Nº 949961 ;3152;0324-00001162;;588,56;13.477,82C;
02/04/2024;PAGAMENTO DUPLICATA Nº 949954 ;92;0424-00000857;979,24;;12.498,58C;
02/04/2024;PAGAMENTO DUPLICATA Nº 949961 ;92;0424-00000860;603,45;;11.895,13C;
04/04/2024;NOTA FISCAL Nº 953841 ;3152;0424-00001382;;203,94;12.099,07C;
16/04/2024;PAGAMENTO DUPLICATA Nº 953841 ;92;0424-00000861;204,75;;11.894,32C;
19/04/2024;NOTA FISCAL Nº 957835 ;3152;0424-00001380;;78,69;11.973,01C;
19/04/2024;NOTA FISCAL Nº 957834 ;3152;0424-00001381;;237,93;12.210,94C;
19/04/2024;NOTA FISCAL Nº 957835 ;3152;0424-00001383;;300,70;12.511,64C;
30/04/2024;PAGAMENTO DUPLICATA Nº 957834 ;92;0424-00000858;243,58;;12.268,06C;
30/04/2024;PAGAMENTO DUPLICATA Nº 957835 ;92;0424-00000859;391,77;;11.876,29C;
22/05/2024;NOTA FISCAL Nº 968647 ;3152;0524-00001468;;131,15;12.007,44C;
22/05/2024;NOTA FISCAL Nº 968647 ;3152;0524-00001470;;330,57;12.338,01C;
31/05/2024;NOTA FISCAL Nº 970925 ;3152;0524-00001469;;250,88;12.588,89C;
04/06/2024;PAGAMENTO DUPLICATA Nº 968647 ; ;0624-00001856;461,72;;12.127,17C;
11/06/2024;PAGAMENTO DUPLICATA Nº 970925 ;92;0624-00001118;256,37;;11.870,80C;
27/09/2024;NOTA FISCAL Nº 1005819 ;3152;0924-00001515;;474,17;12.344,97C;
22/10/2024;NOTA FISCAL Nº 1013835 ;3152;1024-00001484;;288,12;12.633,09C;
08/11/2024;PAGAMENTO DUPLICATA Nº 1005819 ;92;1124-00001225;496,67;;12.136,42C;
01/12/2024;PAGAMENTO DUPLICATA Nº 1013835 ;92;1224-00001117;298,32;;11.838,10C;
;;;;;;;
Conta:;5285 - 2.1.1.01.001 - CAPITAL COMERCIO ELOGISTICA DEALIMENTOS EIRELI;;;;;;
16/03/2024;NOTA FISCAL Nº 52356 ;3152;0324-00001164;;17,99;17,99C;
16/03/2024;NOTA FISCAL Nº 52356 ;3152;0324-00001165;;59,00;76,99C;
10/04/2024;NOTA FISCAL Nº 53996 ;3152;0424-00001384;;17,99;94,98C;
10/04/2024;NOTA FISCAL Nº 53996 ;3152;0424-00001385;;48,00;142,98C;
19/04/2024;PAGAMENTO DUPLICATA Nº 52356 ;92;0424-00000856;76,99;;65,99C;
15/05/2024;PAGAMENTO DUPLICATA Nº 53996 ;92;0524-00000979;65,99;;0,00C;
25/05/2024;NOTA FISCAL Nº 56891 ;3152;0524-00001471;;64,00;64,00C;
25/05/2024;NOTA FISCAL Nº 56891 ;3152;0524-00001472;;19,98;83,98C;
26/06/2024;PAGAMENTO DUPLICATA Nº 56891 ;92;0624-00001116;86,21;; 2,23D;
;;;;;;;
Conta:;5810 - 2.1.1.01.001 - CBA;;;;;;
26/01/2023;NOTA FISCAL Nº 228210 ;3152;0123-00000788;;74,18;74,18C;
26/01/2023;NOTA FISCAL Nº 228210 ;3152;0123-00000789;;155,10;229,28C;
14/02/2023;NOTA FISCAL Nº 229570 ;3152;0223-00000721;;600,84;830,12C;
28/03/2023;NOTA FISCAL Nº 232678 ;3152;0323-00000741;;363,14;1.193,26C;
28/03/2023;NOTA FISCAL Nº 232678 ;3152;0323-00000757;;86,91;1.280,17C;
28/04/2023;NOTA FISCAL Nº 234779 ;3152;0423-00000741;;2.124,88;3.405,05C;
04/05/2023;NOTA FISCAL Nº 234916 ;3152;0523-00000769;;149,29;3.554,34C;
04/05/2023;NOTA FISCAL Nº 234916 ;3152;0523-00000770;;142,04;3.696,38C;
26/05/2023;NOTA FISCAL Nº 236438 ;3152;0523-00000768;;2.671,43;6.367,81C;
26/05/2023;NOTA FISCAL Nº 236438 ;3152;0523-00000771;;225,34;6.593,15C;
28/06/2023;NOTA FISCAL Nº 238293 ;3152;0623-00000722;;725,32;7.318,47C;
28/06/2023;NOTA FISCAL Nº 238293 ;3152;0623-00000723;;250,67;7.569,14C;
19/07/2023;NOTA FISCAL Nº 240254 ;3152;0723-00000741;;335,88;7.905,02C;
20/07/2023;NOTA FISCAL Nº 240441 ;3152;0723-00000740;;2.058,78;9.963,80C;
20/07/2023;NOTA FISCAL Nº 240441 ;3152;0723-00000743;;119,03;10.082,83C;
21/07/2023;NOTA FISCAL Nº 240530 ;3152;0723-00000742;;23,52;10.106,35C;
21/07/2023;NOTA FISCAL Nº 240530 ;3152;0723-00000744;;204,21;10.310,56C;
17/08/2023;NOTA FISCAL Nº 242518 ;3152;0823-00000733;;2.216,36;12.526,92C;
