Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
Conta:;8282 - 2.1.1.01.001 - BIO PROJETOS SUSTENTAVEIS EIRELI - EPP;;;;;
04/01/2024;PAGAMENTO DUPLICATA N§ 56149 ;92;0124-00001033;86,82;; 86,82D
09/02/2024;PAGAMENTO DUPLICATA N§ 57783 ;92;0224-00000973;80;; 166,82D
08/03/2024;PAGAMENTO DUPLICATA N§ 59158 ;92;0324-00001125;80;; 246,82D
05/04/2024;PAGAMENTO DUPLICATA N§ 60588 ;92;0424-00001335;80;; 326,82D
09/05/2024;PAGAMENTO DUPLICATA N§ 62101 ;92;0524-00001427;80;; 406,82D
07/06/2024;PAGAMENTO DUPLICATA N§ 63548 ;92;0624-00001501;80;; 486,82D
10/07/2024;PAGAMENTO DUPLICATA N§ 65211 ;92;0724-00001459;80;; 566,82D
09/08/2024;PAGAMENTO DUPLICATA N§ 66670 ;92;0824-00001398;80;; 646,82D
17/10/2024;PAGAMENTO DUPLICATA N§ 70088 ;92;1024-00001448;80;; 726,82D
08/11/2024;PAGAMENTO DUPLICATA N§ 71205 ;92;1124-00001493;80;; 806,82D
06/12/2024;PAGAMENTO DUPLICATA N§ 72692 ;92;1224-00001374;80;; 886,82D
;;;;;;
Conta:;5795 - 2.1.1.01.001 - BN DE ALMEIDA COMERCIO DE COSMETICOS ME;;;;;
21/04/2024;NOTA FISCAL N§ 8502 ;3152;0424-00001376;;317,42;317,42C
07/07/2024;PAGAMENTO DUPLICATA N§ 8502 ;92;0724-00001183;317,42;;0,00C
;;;;;;
Conta:;6567 - 2.1.1.01.001 - BRAS COMERCIO E PREST DE SERV EIRELI;;;;;
18/01/2023;NOTA FISCAL N§ 21613 ;3152;0123-00000755;;349,5;349,50C
11/03/2023;NOTA FISCAL N§ 21714 ;3152;0323-00000725;;1.054,35;1.403,85C
13/04/2023;NOTA FISCAL N§ 21811 ;3152;0423-00000734;;305,82;1.709,67C
13/04/2023;NOTA FISCAL N§ 21826 ;3152;0423-00000735;;338;2.047,67C
08/05/2023;NOTA FISCAL N§ 21923 ;3152;0523-00000760;;639,6;2.687,27C
10/05/2023;NOTA FISCAL N§ 21929 ;3152;0523-00000759;;639,6;3.326,87C
;;;;;;
Conta:;5805 - 2.1.1.01.001 - BRASAL REFRIGERANTES S A;;;;;
09/01/2023;NOTA FISCAL N§ 14520296 ;3152;0123-00000759;;634,8;634,80C
16/01/2023;NOTA FISCAL N§ 14534507 ;3152;0123-00000760;;378,87;1.013,67C
30/01/2023;NOTA FISCAL N§ 14567761 ;3152;0123-00000761;;171,72;1.185,39C
06/02/2023;NOTA FISCAL N§ 14583364 ;3152;0223-00000698;;158,54;1.343,93C
13/02/2023;NOTA FISCAL N§ 14599497 ;3152;0223-00000699;;253,81;1.597,74C
22/02/2023;NOTA FISCAL N§ 14616989 ;3152;0223-00000697;;564,36;2.162,10C
27/02/2023;NOTA FISCAL N§ 14631985 ;3152;0223-00000700;;183,44;2.345,54C
06/03/2023;NOTA FISCAL N§ 14647452 ;3152;0323-00000727;;290,39;2.635,93C
14/03/2023;NOTA FISCAL N§ 14663261 ;3152;0323-00000726;;175,39;2.811,32C
03/04/2023;NOTA FISCAL N§ 14714856 ;3152;0423-00000736;;420,22;3.231,54C
10/04/2023;NOTA FISCAL N§ 14727114 ;3152;0423-00000737;;111,68;3.343,22C
17/04/2023;NOTA FISCAL N§ 14744527 ;3152;0423-00000738;;437,72;3.780,94C
02/05/2023;NOTA FISCAL N§ 14780473 ;3152;0523-00000763;;518,94;4.299,88C
15/05/2023;NOTA FISCAL N§ 14808714 ;3152;0523-00000762;;355,26;4.655,14C
22/05/2023;NOTA FISCAL N§ 14826097 ;3152;0523-00000761;;589,48;5.244,62C
13/06/2023;NOTA FISCAL N§ 14875603 ;3152;0623-00000717;;394,79;5.639,41C
19/06/2023;NOTA FISCAL N§ 14893780 ;3152;0623-00000718;;314,55;5.953,96C
04/07/2023;NOTA FISCAL N§ 14928358 ;3152;0723-00000734;;350,86;6.304,82C
10/07/2023;NOTA FISCAL N§ 14943818 ;3152;0723-00000735;;324,4;6.629,22C
17/07/2023;NOTA FISCAL N§ 14960875 ;3152;0723-00000731;;156,76;6.785,98C
24/07/2023;NOTA FISCAL N§ 14978776 ;3152;0723-00000733;;273,5;7.059,48C
31/07/2023;NOTA FISCAL N§ 14998269 ;3152;0723-00000732;;355,57;7.415,05C
07/08/2023;NOTA FISCAL N§ 15013810 ;3152;0823-00000728;;220,42;7.635,47C
14/08/2023;NOTA FISCAL N§ 15032038 ;3152;0823-00000726;;329,5;7.964,97C
21/08/2023;NOTA FISCAL N§ 15050209 ;3152;0823-00000727;;279,71;8.244,68C
28/08/2023;NOTA FISCAL N§ 15069503 ;3152;0823-00000729;;316,63;8.561,31C
04/09/2023;NOTA FISCAL N§ 15086883 ;3152;0923-00000726;;324,49;8.885,80C
11/09/2023;NOTA FISCAL N§ 15104129 ;3152;0923-00000725;;380,84;9.266,64C
18/09/2023;NOTA FISCAL N§ 15122815 ;3152;0923-00000727;;202,9;9.469,54C
26/09/2023;NOTA FISCAL N§ 15143501 ;3152;0923-00000724;;363,22;9.832,76C
03/10/2023;NOTA FISCAL N§ 15164296 ;3152;1023-00000583;;310,63;10.143,39C
10/10/2023;NOTA FISCAL N§ 15180866 ;3152;1023-00000582;;444,08;10.587,47C
30/10/2023;NOTA FISCAL N§ 15236302 ;3152;1023-00000584;;853,3;11.440,77C
07/11/2023;NOTA FISCAL N§ 15250543 ;3152;1123-00000439;;189,81;11.630,58C
13/11/2023;NOTA FISCAL N§ 15269992 ;3152;1123-00000440;;364,04;11.994,62C
20/11/2023;NOTA FISCAL N§ 15289430 ;3152;1123-00000441;;141,92;12.136,54C
06/12/2023;NOTA FISCAL N§ 15326558 ;3152;1223-00000215;;247,94;12.384,48C
12/12/2023;NOTA FISCAL N§ 15343364 ;3152;1223-00000214;;368,47;12.752,95C
20/12/2023;NOTA FISCAL N§ 15361791 ;3152;1223-00000212;;363,17;13.116,12C
26/12/2023;NOTA FISCAL N§ 15382075 ;3152;1223-00000213;;485,03;13.601,15C
02/01/2024;PAGAMENTO DUPLICATA N§ 15361791 ;92;0124-00000621;363,17;;13.237,98C
05/01/2024;NOTA FISCAL N§ 15396441 ;3152;0124-00001068;;306,44;13.544,42C
10/01/2024;PAGAMENTO DUPLICATA N§ 15382075 ;92;0124-00000622;485,03;;13.059,39C
11/01/2024;NOTA FISCAL N§ 15407123 ;3152;0124-00001069;;602,06;13.661,45C
17/01/2024;PAGAMENTO DUPLICATA N§ 15396441 ;92;0124-00000623;306,44;;13.355,01C
23/01/2024;PAGAMENTO DUPLICATA N§ 15407123 ;92;0124-00000624;602,06;;12.752,95C
30/01/2024;NOTA FISCAL N§ 15439168 ;3152;0124-00001070;;208,88;12.961,83C
30/01/2024;PAGAMENTO DUPLICATA N§ 15439168 ;4578;0124-00001593;;6,47;12.968,30C
01/02/2024;NOTA FISCAL N§ 15458318 ;3152;0224-00001003;;213,62;13.181,92C
01/02/2024;PAGAMENTO DUPLICATA N§ 15458318 ;4578;0224-00001528;;5,83;13.187,75C
06/02/2024;PAGAMENTO DUPLICATA N§ 15439168 ;92;0224-00000593;215,35;;12.972,40C
14/02/2024;PAGAMENTO DUPLICATA N§ 15458318 ;92;0224-00000594;219,45;;12.752,95C
26/02/2024;NOTA FISCAL N§ 15523405 ;3152;0224-00001004;;780,01;13.532,96C
26/02/2024;PAGAMENTO DUPLICATA N§ 15523405 ;4578;0224-00001531;;44,19;13.577,15C
11/03/2024;NOTA FISCAL N§ 15558351 ;3152;0324-00001159;;288,27;13.865,42C
11/03/2024;PAGAMENTO DUPLICATA N§ 15558351 ;4578;0324-00001691;;7,88;13.873,30C
12/03/2024;PAGAMENTO DUPLICATA N§ 15523405 ;92;0324-00000750;824,2;;13.049,10C
26/03/2024;PAGAMENTO DUPLICATA N§ 15558351 ;92;0324-00000751;296,15;;12.752,95C
03/04/2024;NOTA FISCAL N§ 15612199 ;3152;0424-00001378;;462,93;13.215,88C
03/04/2024;PAGAMENTO DUPLICATA N§ 15612199 ;4578;0424-00001898;;14,35;13.230,23C
08/04/2024;NOTA FISCAL N§ 15628374 ;3152;0424-00001379;;240,86;13.471,09C
08/04/2024;PAGAMENTO DUPLICATA N§ 15628374 ;4578;0424-00001896;;12,76;13.483,85C
15/04/2024;NOTA FISCAL N§ 15649090 ;3152;0424-00001377;;351,31;13.835,16C
16/04/2024;PAGAMENTO DUPLICATA N§ 15612199 ;92;0424-00000899;477,28;;13.357,88C
23/04/2024;PAGAMENTO DUPLICATA N§ 15628374 ;92;0424-00000900;253,62;;13.104,26C
30/04/2024;PAGAMENTO DUPLICATA N§ 15649090 ;92;0424-00000898;351,31;;12.752,95C
31/05/2024;NOTA FISCAL N§ 15769948 ;3152;0524-00001467;;818,09;13.571,04C
31/05/2024;PAGAMENTO DUPLICATA N§ 15769948 ;4578;0524-00001962;;58,35;13.629,39C
14/06/2024;PAGAMENTO DUPLICATA N§ 15769948 ;92;0624-00001143;876,44;;12.752,95C
19/08/2024;NOTA FISCAL N§ 15975309 ;3152;0824-00001436;;816,35;13.569,30C
19/08/2024;PAGAMENTO DUPLICATA N§ 15975309 ;4578;0824-00001841;;67,21;13.636,51C
03/09/2024;PAGAMENTO DUPLICATA N§ 15975309 ;92;0924-00001254;883,56;;12.752,95C
17/10/2024;NOTA FISCAL N§ 16138431 ;3152;1024-00001483;;440,98;13.193,93C
17/10/2024;PAGAMENTO DUPLICATA N§ 16138431 ;4578;1024-00001866;;29,83;13.223,76C
01/11/2024;PAGAMENTO DUPLICATA N§ 16138431 ;92;1124-00001252;470,81;;12.752,95C
;;;;;;
Conta:;5329 - 2.1.1.01.001 - BRASSOL BRASILIA ALIMENTOS E SORVETES LTDA;;;;;
08/03/2023;NOTA FISCAL N§ 845665 ;3152;0323-00000728;;75,15;75,15C
08/03/2023;NOTA FISCAL N§ 845665 ;3152;0323-00000729;;831,78;906,93C
08/03/2023;NOTA FISCAL N§ 845649 ;3152;0323-00000730;;1.050,11;1.957,04C
15/03/2023;NOTA FISCAL N§ 845676 ;3152;0323-00000731;;233,07;2.190,11C
20/04/2023;NOTA FISCAL N§ 856730 ;3152;0423-00000739;;67,62;2.257,73C
20/04/2023;NOTA FISCAL N§ 856730 ;3152;0423-00000740;;838,15;3.095,88C
04/05/2023;NOTA FISCAL N§ 859569 ;3152;0523-00000766;;1.576,85;4.672,73C
10/05/2023;NOTA FISCAL N§ 861723 ;3152;0523-00000764;;76,02;4.748,75C
10/05/2023;NOTA FISCAL N§ 861723 ;3152;0523-00000767;;224,43;4.973,18C
17/05/2023;NOTA FISCAL N§ 863772 ;3152;0523-00000765;;614,71;5.587,89C
23/06/2023;NOTA FISCAL N§ 872727 ;3152;0623-00000719;;103,57;5.691,46C
23/06/2023;NOTA FISCAL N§ 872728 ;3152;0623-00000720;;332,61;6.024,07C
23/06/2023;NOTA FISCAL N§ 872727 ;3152;0623-00000721;;89,13;6.113,20C
05/07/2023;NOTA FISCAL N§ 876259 ;3152;0723-00000737;;262,65;6.375,85C
26/07/2023;NOTA FISCAL N§ 881431 ;3152;0723-00000736;;101,36;6.477,21C
26/07/2023;NOTA FISCAL N§ 881430 ;3152;0723-00000738;;457,76;6.934,97C
26/07/2023;NOTA FISCAL N§ 881431 ;3152;0723-00000739;;270,22;7.205,19C
16/08/2023;NOTA FISCAL N§ 887407 ;3152;0823-00000730;;50,68;7.255,87C
16/08/2023;NOTA FISCAL N§ 887414 ;3152;0823-00000731;;689,11;7.944,98C
16/08/2023;NOTA FISCAL N§ 887407 ;3152;0823-00000732;;401,51;8.346,49C
13/09/2023;NOTA FISCAL N§ 894879 ;3152;0923-00000728;;76,02;8.422,51C
13/09/2023;NOTA FISCAL N§ 894879 ;3152;0923-00000729;;322,54;8.745,05C
13/09/2023;NOTA FISCAL N§ 894880 ;3152;0923-00000730;;228,88;8.973,93C
05/10/2023;NOTA FISCAL N§ 901004 ;3152;1023-00000585;;101,36;9.075,29C
05/10/2023;NOTA FISCAL N§ 901004 ;3152;1023-00000586;;176,49;9.251,78C
05/10/2023;NOTA FISCAL N§ 901005 ;3152;1023-00000587;;235,43;9.487,21C
