Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
02/07/2024;PAGAMENTO DUPLICATA N§ 208084 ;4578;0724-00001892;;31,06;71.512,99C
02/07/2024;PAGAMENTO DUPLICATA N§ 208083 ;4578;0724-00001893;;32,58;71.545,57C
02/07/2024;PAGAMENTO DUPLICATA N§ 208082 ;4578;0724-00001895;;93,17;71.638,74C
05/07/2024;PAGAMENTO DUPLICATA N§ 201554 ;92;0724-00001146;581,13;;71.057,61C
08/07/2024;PAGAMENTO DUPLICATA N§ 201858 ;92;0724-00001147;577,46;;70.480,15C
08/07/2024;PAGAMENTO DUPLICATA N§ 201859 ;92;0724-00001148;608,99;;69.871,16C
17/07/2024;PAGAMENTO DUPLICATA N§ 201402 ;92;0724-00001145;581,13;;69.290,03C
23/08/2024;PAGAMENTO DUPLICATA N§ 207077 ;92;0824-00001130;1.936,36;;67.353,67C
27/09/2024;PAGAMENTO DUPLICATA N§ 208082 ;92;0924-00001234;2.244,11;;65.109,56C
27/09/2024;PAGAMENTO DUPLICATA N§ 208083 ;92;0924-00001235;784,75;;64.324,81C
27/09/2024;PAGAMENTO DUPLICATA N§ 208084 ;92;0924-00001236;747,65;;63.577,16C
27/09/2024;PAGAMENTO DUPLICATA N§ 208085 ;92;0924-00001237;2.598,74;;60.978,42C
24/10/2024;NOTA FISCAL N§ 221848 ;3152;1024-00001600;;263,04;61.241,46C
24/10/2024;NOTA FISCAL N§ 221848 ;3152;1024-00001601;;1.174,98;62.416,44C
24/10/2024;PAGAMENTO DUPLICATA N§ 221848 ;4578;1024-00001863;;28,41;62.444,85C
23/12/2024;PAGAMENTO DUPLICATA N§ 221848 ;92;1224-00001127;1.466,43;;60.978,42C
;;;;;;
Conta:;6159 - 2.1.1.01.001 - MEDICAMENTAL DISTRIBUIDORA LTDA;;;;;
10/04/2023;NOTA FISCAL N§ 96409 ;3152;0423-00000955;;185,75;185,75C
10/06/2023;NOTA FISCAL N§ 99953 ;3152;0623-00000885;;527,36;713,11C
14/07/2023;NOTA FISCAL N§ 101559 ;3152;0723-00001005;;125,5;838,61C
14/08/2023;NOTA FISCAL N§ 102607 ;3152;0823-00000760;;73,9;912,51C
14/08/2023;NOTA FISCAL N§ 102607 ;3152;0823-00001011;;25,3;937,81C
20/12/2023;NOTA FISCAL N§ 108746 ;3152;1223-00000581;;327,99;1.265,80C
26/12/2023;NOTA FISCAL N§ 108925 ;3152;1223-00000274;;80,79;1.346,59C
26/12/2023;NOTA FISCAL N§ 108925 ;3152;1223-00000614;;223,27;1.569,86C
13/02/2024;PAGAMENTO DUPLICATA N§ 108746 ;92;0224-00000638;327,99;;1.241,87C
15/02/2024;PAGAMENTO DUPLICATA N§ 108925 ;92;0224-00000639;305,58;;936,29C
09/05/2024;NOTA FISCAL N§ 115936 ;3152;0524-00001650;;569,12;1.505,41C
09/05/2024;PAGAMENTO DUPLICATA N§ 115936 ;4578;0524-00001948;;8,54;1.513,95C
18/05/2024;NOTA FISCAL N§ 116501 ;3152;0524-00001651;;132,77;1.646,72C
21/05/2024;NOTA FISCAL N§ 116608 ;3152;0524-00001652;;364,1;2.010,82C
21/05/2024;PAGAMENTO DUPLICATA N§ 116608 ;4578;0524-00001947;;7,28;2.018,10C
21/06/2024;NOTA FISCAL N§ 118098 ;3152;0624-00001645;;236,24;2.254,34C
21/06/2024;NOTA FISCAL N§ 118098 ;3152;0624-00001646;;1.366,98;3.621,32C
21/06/2024;PAGAMENTO DUPLICATA N§ 118098 ;4578;0624-00001842;;8,01;3.629,33C
02/07/2024;PAGAMENTO DUPLICATA N§ 115936 ;92;0724-00001232;577,66;;3.051,67C
12/07/2024;PAGAMENTO DUPLICATA N§ 116501 ;92;0724-00001233;132,77;;2.918,90C
29/07/2024;PAGAMENTO DUPLICATA N§ 116608 ;92;0724-00001234;371,38;;2.547,52C
22/08/2024;PAGAMENTO DUPLICATA N§ 118098 ;92;0824-00001192;1.611,23;;936,29C
16/10/2024;NOTA FISCAL N§ 123529 ;3152;1024-00001602;;27,66;963,95C
16/10/2024;NOTA FISCAL N§ 123529 ;3152;1024-00001603;;225,66;1.189,61C
05/12/2024;PAGAMENTO DUPLICATA N§ 123529 ;92;1224-00001152;253,32;;936,29C
;;;;;;
Conta:;6222 - 2.1.1.01.001 - MEGAFOX COM. DE GEN. ALIMENTICIOS LTDA;;;;;
23/11/2023;NOTA FISCAL N§ 636488 ;3152;1123-00000635;;500,79;500,79C
01/02/2024;NOTA FISCAL N§ 645836 ;3152;0224-00001173;;321,51;822,30C
13/02/2024;PAGAMENTO DUPLICATA N§ 645836 ;92;0224-00000658;329,83;;492,47C
08/03/2024;NOTA FISCAL N§ 651676 ;3152;0324-00001350;;433,09;925,56C
05/04/2024;PAGAMENTO DUPLICATA N§ 651676 ;92;0424-00000974;436,49;;489,07C
13/09/2024;NOTA FISCAL N§ 683024 ;3152;0924-00001667;;570,79;1.059,86C
28/10/2024;PAGAMENTO DUPLICATA N§ 683024 ;92;1024-00001262;592,28;;467,58C
;;;;;;
Conta:;9115 - 2.1.1.01.001 - MEGAMAX DISTRIBUIDORA DE COSMETICOS LTDA;;;;;
24/04/2023;NOTA FISCAL N§ 4274 ;3152;0423-00000998;;1.720,32;1.720,32C
16/06/2023;NOTA FISCAL N§ 4536 ;3152;0623-00000886;;976,98;2.697,30C
;;;;;;
Conta:;19235 - 2.1.1.01.001 - MERHEJE BRAZIL INDUSTRIA DE METALURGIA DE PRECISAO LTDA;;;;;
11/04/2024;NOTA FISCAL N§ 200062 ;3152;0424-00001547;;215,08;215,08C
11/04/2024;NOTA FISCAL N§ 200062 ;3152;0424-00001548;;548,51;763,59C
01/06/2024;PAGAMENTO DUPLICATA N§ 200062 ;92;0624-00001510;192,42;;571,17C
11/06/2024;PAGAMENTO DUPLICATA N§ 200062 ;92;0624-00001511;191,64;;379,53C
21/06/2024;PAGAMENTO DUPLICATA N§ 200062 ;92;0624-00001512;190,89;;188,64C
01/07/2024;PAGAMENTO DUPLICATA N§ 200062 ;92;0724-00001471;191,89;; 3,25D
;;;;;;
Conta:;9765 - 2.1.1.01.001 - MHEL ATACADO DISTRIBUIDOR DE COSMETICOS E LOGISTICA LTDA;;;;;
26/05/2023;NOTA FISCAL N§ 5914 ;3152;0523-00001028;;900,99;900,99C
14/09/2023;NOTA FISCAL N§ 9080 ;3152;0923-00000773;;1.370,47;2.271,46C
14/09/2023;NOTA FISCAL N§ 9080 ;3152;0923-00000980;;404,97;2.676,43C
13/11/2023;NOTA FISCAL N§ 10827 ;3152;1123-00000489;;1.021,68;3.698,11C
13/11/2023;NOTA FISCAL N§ 10827 ;3152;1123-00000735;;229,84;3.927,95C
18/12/2023;NOTA FISCAL N§ 12038 ;3152;1223-00000258;;584,22;4.512,17C
18/12/2023;NOTA FISCAL N§ 12038 ;3152;1223-00000558;;340,1;4.852,27C
22/01/2024;PAGAMENTO DUPLICATA N§ 10827 ;92;0124-00001038;1.251,52;;3.600,75C
06/02/2024;NOTA FISCAL N§ 13563 ;3152;0224-00001174;;750,63;4.351,38C
06/02/2024;NOTA FISCAL N§ 13563 ;3152;0224-00001175;;159,2;4.510,58C
24/02/2024;PAGAMENTO DUPLICATA N§ 12038 ;92;0224-00000978;924,32;;3.586,26C
12/04/2024;PAGAMENTO DUPLICATA N§ 13563 ;92;0424-00001340;943,17;;2.643,09C
08/08/2024;NOTA FISCAL N§ 19878 ;3152;0824-00001567;;571,77;3.214,86C
08/08/2024;NOTA FISCAL N§ 19879 ;3152;0824-00001568;;710,57;3.925,43C
08/08/2024;NOTA FISCAL N§ 19879 ;3152;0824-00001570;;252,36;4.177,79C
08/08/2024;NOTA FISCAL N§ 19878 ;3152;0824-00001571;;28,22;4.206,01C
19/08/2024;NOTA FISCAL N§ 20319 ;3152;0824-00001566;;828,98;5.034,99C
19/08/2024;NOTA FISCAL N§ 20319 ;3152;0824-00001569;;841,44;5.876,43C
27/08/2024;PAGAMENTO DUPLICATA N§ 18372 ;92;0824-00001403;514,06;;5.362,37C
03/09/2024;PAGAMENTO DUPLICATA N§ 18371 ;92;0924-00001485;1.063,33;;4.299,04C
03/09/2024;PAGAMENTO DUPLICATA N§ 18372 ;92;0924-00001486;507,49;;3.791,55C
10/09/2024;PAGAMENTO DUPLICATA N§ 18372 ;92;0924-00001487;507,49;;3.284,06C
26/09/2024;NOTA FISCAL N§ 21563 ;3152;0924-00001668;;1.065,85;4.349,91C
26/09/2024;NOTA FISCAL N§ 21563 ;3152;0924-00001669;;913,73;5.263,64C
01/10/2024;PAGAMENTO DUPLICATA N§ 19879 ;92;1024-00001452;240,73;;5.022,91C
05/10/2024;PAGAMENTO DUPLICATA N§ 19878 ;92;1024-00001450;300;;4.722,91C
08/10/2024;PAGAMENTO DUPLICATA N§ 19879 ;92;1024-00001453;247,94;;4.474,97C
15/10/2024;PAGAMENTO DUPLICATA N§ 19879 ;92;1024-00001454;247,94;;4.227,03C
16/10/2024;PAGAMENTO DUPLICATA N§ 20319 ;92;1024-00001456;469,43;;3.757,60C
21/10/2024;PAGAMENTO DUPLICATA N§ 20319 ;92;1024-00001457;417,87;;3.339,73C
22/10/2024;PAGAMENTO DUPLICATA N§ 19878 ;92;1024-00001451;308,98;;3.030,75C
22/10/2024;PAGAMENTO DUPLICATA N§ 19879 ;92;1024-00001455;247,95;;2.782,80C
26/10/2024;PAGAMENTO DUPLICATA N§ 20319 ;92;1024-00001458;420,57;;2.362,23C
31/10/2024;PAGAMENTO DUPLICATA N§ 20319 ;92;1024-00001459;423,27;;1.938,96C
27/11/2024;PAGAMENTO DUPLICATA N§ 21563 ;92;1124-00001495;728,78;;1.210,18C
04/12/2024;PAGAMENTO DUPLICATA N§ 21563 ;92;1224-00001376;672,61;;537,57C
11/12/2024;PAGAMENTO DUPLICATA N§ 21563 ;92;1224-00001377;672,61;; 135,04D
;;;;;;
Conta:;7723 - 2.1.1.01.001 - MONTEIRO COMERCIAL E SERVICOS LTDA;;;;;
18/01/2023;NOTA FISCAL N§ 13420 ;3152;0123-00000782;;1.466,10;1.466,10C
22/02/2023;NOTA FISCAL N§ 13523 ;3152;0223-00000712;;734,8;2.200,90C
14/04/2023;NOTA FISCAL N§ 13729 ;3152;0423-00000773;;1.615,10;3.816,00C
11/05/2023;NOTA FISCAL N§ 13867 ;3152;0523-00000804;;672,1;4.488,10C
21/07/2023;NOTA FISCAL N§ 14149 ;3152;0723-00000779;;1.665,60;6.153,70C
27/10/2023;NOTA FISCAL N§ 14484 ;3152;1023-00000615;;1.019,10;7.172,80C
12/12/2023;NOTA FISCAL N§ 14618 ;3152;1223-00000244;;2.451,00;9.623,80C
23/01/2024;PAGAMENTO DUPLICATA N§ 14484 ;92;0124-00001032;1.043,56;;8.580,24C
28/02/2024;NOTA FISCAL N§ 14850 ;3152;0224-00001176;;1.046,10;9.626,34C
29/03/2024;PAGAMENTO DUPLICATA N§ 14618 ;92;0324-00001124;2.451,00;;7.175,34C
23/05/2024;PAGAMENTO DUPLICATA N§ 14850 ;92;0524-00001426;1.046,10;;6.129,24C
;;;;;;
Conta:;7150 - 2.1.1.01.001 - MULTICANAL ATACADO LTDA -F3;;;;;
21/04/2024;NOTA FISCAL N§ 101226 ;3152;0424-00001549;;1.585,29;1.585,29C
28/05/2024;PAGAMENTO DUPLICATA N§ 101226 ;92;0524-00001424;528,43;;1.056,86C
31/05/2024;NOTA FISCAL N§ 104180 ;3152;0524-00001653;;614,08;1.670,94C
31/05/2024;NOTA FISCAL N§ 104180 ;3152;0524-00001654;;79,4;1.750,34C
04/06/2024;PAGAMENTO DUPLICATA N§ 101226 ;92;0624-00001497;528,43;;1.221,91C
10/06/2024;NOTA FISCAL N§ 105295 ;3152;0624-00001647;;160,76;1.382,67C
10/06/2024;NOTA FISCAL N§ 105295 ;3152;0624-00001648;;312,7;1.695,37C
11/06/2024;PAGAMENTO DUPLICATA N§ 101226 ;92;0624-00001498;533,2;;1.162,17C
25/06/2024;NOTA FISCAL N§ 106374 ;3152;0624-00001649;;2.286,72;3.448,89C
11/07/2024;PAGAMENTO DUPLICATA N§ 104180 ;92;0724-00001455;693,48;;2.755,41C
22/07/2024;NOTA FISCAL N§ 108709 ;3152;0724-00001612;;755,98;3.511,39C
22/07/2024;NOTA FISCAL N§ 108709 ;3152;0724-00001613;;511,71;4.023,10C
23/07/2024;PAGAMENTO DUPLICATA N§ 105295 ;92;0724-00001456;473,46;;3.549,64C
25/07/2024;NOTA FISCAL N§ 109056 ;3152;0724-00001614;;1.925,76;5.475,40C
05/08/2024;NOTA FISCAL N§ 110002 ;3152;0824-00001572;;484,35;5.959,75C
05/08/2024;NOTA FISCAL N§ 110002 ;3152;0824-00001573;;333,51;6.293,26C
12/08/2024;PAGAMENTO DUPLICATA N§ 106374 ;92;0824-00001396;2.199,10;;4.094,16C
15/08/2024;PAGAMENTO DUPLICATA N§ 106559 ;92;0824-00001397;647,36;;3.446,80C
23/08/2024;NOTA FISCAL N§ 111766 ;3152;0824-00001574;;4.041,66;7.488,46C
01/09/2024;PAGAMENTO DUPLICATA N§ 108709 ;92;0924-00001480;1.275,29;;6.213,17C
04/09/2024;NOTA FISCAL N§ 113115 ;3152;0924-00001671;;1.817,52;8.030,69C
05/09/2024;NOTA FISCAL N§ 113294 ;3152;0924-00001672;;1.422,04;9.452,73C
13/09/2024;PAGAMENTO DUPLICATA N§ 109056 ;92;0924-00001481;1.925,76;;7.526,97C
17/09/2024;NOTA FISCAL N§ 114137 ;3152;0924-00001670;;245,42;7.772,39C
17/09/2024;NOTA FISCAL N§ 114137 ;3152;0924-00001674;;580,04;8.352,43C
23/09/2024;PAGAMENTO DUPLICATA N§ 110002 ;92;0924-00001482;827,66;;7.524,77C
25/09/2024;NOTA FISCAL N§ 114869 ;3152;0924-00001673;;2.329,44;9.854,21C
11/10/2024;PAGAMENTO DUPLICATA N§ 111766 ;92;1024-00001444;4.126,50;;5.727,71C
25/10/2024;PAGAMENTO DUPLICATA N§ 113115 ;92;1024-00001445;1.855,67;;3.872,04C
25/10/2024;NOTA FISCAL N§ 117658 ;3152;1024-00001604;;1.601,88;5.473,92C
26/10/2024;PAGAMENTO DUPLICATA N§ 113294 ;92;1024-00001446;1.464,74;;4.009,18C
31/10/2024;PAGAMENTO DUPLICATA N§ 114137 ;92;1024-00001447;837,86;;3.171,32C
07/11/2024;NOTA FISCAL N§ 118722 ;3152;1124-00001623;;575,06;3.746,38C
07/11/2024;NOTA FISCAL N§ 118722 ;3152;1124-00001625;;223,52;3.969,90C
14/11/2024;NOTA FISCAL N§ 119188 ;3152;1124-00001622;;123,51;4.093,41C
14/11/2024;NOTA FISCAL N§ 119188 ;3152;1124-00001624;;333,92;4.427,33C
15/11/2024;PAGAMENTO DUPLICATA N§ 114869 ;92;1124-00001487;2.371,38;;2.055,95C
16/12/2024;PAGAMENTO DUPLICATA N§ 117658 ;92;1224-00001369;1.621,12;;434,83C
28/12/2024;PAGAMENTO DUPLICATA N§ 118722 ;92;1224-00001370;812,98;; 378,15D
28/12/2024;NOTA FISCAL N§ 123600 ;3152;1224-00001494;;744,9;366,75C
28/12/2024;NOTA FISCAL N§ 123600 ;3152;1224-00001495;;259,79;626,54C
;;;;;;
Conta:;6175 - 2.1.1.01.001 - NDS DISTRIBUIDORA DE MEDICAMENTOS LTDA;;;;;
16/01/2023;NOTA FISCAL N§ 74754 ;3152;0123-00001006;;1.665,66;1.665,66C
24/01/2023;NOTA FISCAL N§ 75009 ;3152;0123-00000949;;1.206,98;2.872,64C
06/02/2023;NOTA FISCAL N§ 75494 ;3152;0223-00000808;;1.682,26;4.554,90C
08/03/2023;NOTA FISCAL N§ 76263 ;3152;0323-00000973;;1.186,72;5.741,62C
15/03/2023;NOTA FISCAL N§ 76600 ;3152;0323-00000968;;1.179,60;6.921,22C
11/04/2023;NOTA FISCAL N§ 77470 ;3152;0423-00000947;;1.118,18;8.039,40C
10/05/2023;NOTA FISCAL N§ 78515 ;3152;0523-00000991;;2.085,84;10.125,24C
01/06/2023;NOTA FISCAL N§ 79286 ;3152;0623-00000940;;1.133,14;11.258,38C
06/06/2023;NOTA FISCAL N§ 79542 ;3152;0623-00000910;;948,46;12.206,84C
17/06/2023;NOTA FISCAL N§ 79822 ;3152;0623-00000965;;373,43;12.580,27C
12/07/2023;NOTA FISCAL N§ 80815 ;3152;0723-00000971;;1.454,78;14.035,05C
08/08/2023;NOTA FISCAL N§ 81807 ;3152;0823-00000931;;1.724,15;15.759,20C
30/08/2023;NOTA FISCAL N§ 82439 ;3152;0823-00001041;;1.469,14;17.228,34C
09/09/2023;NOTA FISCAL N§ 82719 ;3152;0923-00000979;;1.114,15;18.342,49C
13/11/2023;NOTA FISCAL N§ 84721 ;3152;1123-00000685;;419,79;18.762,28C
14/11/2023;NOTA FISCAL N§ 84736 ;3152;1123-00000762;;909;19.671,28C
06/12/2023;NOTA FISCAL N§ 85575 ;3152;1223-00000479;;672,47;20.343,75C
16/12/2023;NOTA FISCAL N§ 85937 ;3152;1223-00000421;;352,63;20.696,38C
20/12/2023;NOTA FISCAL N§ 86028 ;3152;1223-00000413;;606,96;21.303,34C
05/01/2024;NOTA FISCAL N§ 86619 ;3152;0124-00001226;;425,5;21.728,84C
05/01/2024;PAGAMENTO DUPLICATA N§ 86619 ;4578;0124-00001592;;1,28;21.730,12C
09/01/2024;PAGAMENTO DUPLICATA N§ 84721 ;92;0124-00000680;419,79;;21.310,33C
24/01/2024;PAGAMENTO DUPLICATA N§ 84736 ;92;0124-00000681;909;;20.401,33C
01/02/2024;NOTA FISCAL N§ 87558 ;3152;0224-00001178;;1.196,41;21.597,74C
01/02/2024;PAGAMENTO DUPLICATA N§ 87558 ;4578;0224-00001525;;4,8;21.602,54C
19/02/2024;PAGAMENTO DUPLICATA N§ 85575 ;92;0224-00000640;673,13;;20.929,41C
28/02/2024;PAGAMENTO DUPLICATA N§ 85937 ;92;0224-00000641;352,63;;20.576,78C
28/02/2024;NOTA FISCAL N§ 88812 ;3152;0224-00001177;;1.389,71;21.966,49C
28/02/2024;PAGAMENTO DUPLICATA N§ 88812 ;4578;0224-00001527;;5,55;21.972,04C
04/03/2024;PAGAMENTO DUPLICATA N§ 86028 ;92;0324-00000790;606,96;;21.365,08C
06/03/2024;NOTA FISCAL N§ 89106 ;3152;0324-00001351;;446,52;21.811,60C
06/03/2024;PAGAMENTO DUPLICATA N§ 89106 ;4578;0324-00001685;;1,79;21.813,39C
14/03/2024;NOTA FISCAL N§ 89297 ;3152;0324-00001353;;527,59;22.340,98C
14/03/2024;PAGAMENTO DUPLICATA N§ 89297 ;4578;0324-00001686;;2,11;22.343,09C
19/03/2024;PAGAMENTO DUPLICATA N§ 86619 ;92;0324-00000791;426,78;;21.916,31C
26/03/2024;NOTA FISCAL N§ 89954 ;3152;0324-00001352;;707,09;22.623,40C
26/03/2024;PAGAMENTO DUPLICATA N§ 89954 ;4578;0324-00001687;;2,83;22.626,23C
28/03/2024;NOTA FISCAL N§ 90080 ;3152;0324-00001354;;749,42;23.375,65C
28/03/2024;PAGAMENTO DUPLICATA N§ 90080 ;4578;0324-00001688;;2,99;23.378,64C
04/04/2024;NOTA FISCAL N§ 90349 ;3152;0424-00001551;;1.523,34;24.901,98C
04/04/2024;PAGAMENTO DUPLICATA N§ 90349 ;4578;0424-00001891;;6,07;24.908,05C
15/04/2024;PAGAMENTO DUPLICATA N§ 87558 ;92;0424-00000937;1.201,21;;23.706,84C
16/04/2024;NOTA FISCAL N§ 90788 ;3152;0424-00001550;;1.164,57;24.871,41C
16/04/2024;PAGAMENTO DUPLICATA N§ 90788 ;4578;0424-00001888;;4,64;24.876,05C
08/05/2024;NOTA FISCAL N§ 91448 ;3152;0524-00001657;;1.799,23;26.675,28C
08/05/2024;PAGAMENTO DUPLICATA N§ 91448 ;4578;0524-00001946;;7,19;26.682,47C
13/05/2024;PAGAMENTO DUPLICATA N§ 88812 ;92;0524-00001073;1.395,26;;25.287,21C
13/05/2024;NOTA FISCAL N§ 91678 ;3152;0524-00001655;;1.100,64;26.387,85C
13/05/2024;PAGAMENTO DUPLICATA N§ 91678 ;4578;0524-00001940;;2,2;26.390,05C
20/05/2024;PAGAMENTO DUPLICATA N§ 89106 ;92;0524-00001074;448,31;;25.941,74C
21/05/2024;NOTA FISCAL N§ 91969 ;3152;0524-00001656;;998,96;26.940,70C
21/05/2024;PAGAMENTO DUPLICATA N§ 91969 ;4578;0524-00001943;;3,99;26.944,69C
27/05/2024;PAGAMENTO DUPLICATA N§ 89297 ;92;0524-00001075;529,7;;26.414,99C
27/05/2024;PAGAMENTO DUPLICATA N§ 90080 ;92;0524-00001076;752,41;;25.662,58C
10/06/2024;PAGAMENTO DUPLICATA N§ 89954 ;92;0624-00001176;709,92;;24.952,66C
17/06/2024;PAGAMENTO DUPLICATA N§ 90349 ;92;0624-00001177;1.529,41;;23.423,25C
19/06/2024;NOTA FISCAL N§ 92988 ;3152;0624-00001650;;1.371,56;24.794,81C
19/06/2024;PAGAMENTO DUPLICATA N§ 92988 ;4578;0624-00001839;;5,48;24.800,29C
01/07/2024;PAGAMENTO DUPLICATA N§ 90788 ;92;0724-00001235;1.169,21;;23.631,08C
11/07/2024;NOTA FISCAL N§ 93868 ;3152;0724-00001615;;1.315,58;24.946,66C
11/07/2024;PAGAMENTO DUPLICATA N§ 93868 ;4578;0724-00001885;;5,27;24.951,93C
15/07/2024;NOTA FISCAL N§ 94047 ;3152;0724-00001616;;1.699,29;26.651,22C
15/07/2024;PAGAMENTO DUPLICATA N§ 94047 ;4578;0724-00001888;;15,29;26.666,51C
22/07/2024;PAGAMENTO DUPLICATA N§ 91448 ;92;0724-00001236;1.806,42;;24.860,09C
24/07/2024;PAGAMENTO DUPLICATA N§ 91678 ;92;0724-00001237;1.102,84;;23.757,25C
05/08/2024;PAGAMENTO DUPLICATA N§ 91969 ;92;0824-00001193;1.002,95;;22.754,30C
13/08/2024;NOTA FISCAL N§ 95166 ;3152;0824-00001576;;1.096,26;23.850,56C
13/08/2024;PAGAMENTO DUPLICATA N§ 95166 ;4578;0824-00001831;;6,59;23.857,15C
27/08/2024;NOTA FISCAL N§ 95782 ;3152;0824-00001575;;1.611,89;25.469,04C
02/09/2024;PAGAMENTO DUPLICATA N§ 92988 ;92;0924-00001275;1.377,04;;24.092,00C
10/09/2024;NOTA FISCAL N§ 96381 ;3152;0924-00001677;;957,71;25.049,71C
11/09/2024;NOTA FISCAL N§ 96420 ;3152;0924-00001675;;338,7;25.388,41C
11/09/2024;PAGAMENTO DUPLICATA N§ 96420 ;4578;0924-00001880;;1,01;25.389,42C
17/09/2024;NOTA FISCAL N§ 96707 ;3152;0924-00001676;;1.299,79;26.689,21C
23/09/2024;PAGAMENTO DUPLICATA N§ 93868 ;92;0924-00001276;1.320,85;;25.368,36C
25/09/2024;PAGAMENTO DUPLICATA N§ 94047 ;92;0924-00001277;1.714,58;;23.653,78C
09/10/2024;NOTA FISCAL N§ 97516 ;3152;1024-00001605;;135,28;23.789,06C
09/10/2024;NOTA FISCAL N§ 97516 ;3152;1024-00001606;;1.351,27;25.140,33C
11/10/2024;PAGAMENTO DUPLICATA N§ 95166 ;92;1024-00001227;1.102,85;;24.037,48C
11/11/2024;PAGAMENTO DUPLICATA N§ 96420 ;92;1124-00001278;339,71;;23.697,77C
;;;;;;
Conta:;6177 - 2.1.1.01.001 - NESTLE BRASIL LTDA;;;;;
13/03/2023;NOTA FISCAL N§ 1093207 ;3152;0323-00001007;;113,91;113,91C
18/04/2023;NOTA FISCAL N§ 1102650 ;3152;0423-00000999;;80,64;194,55C
;;;;;;
Conta:;6196 - 2.1.1.01.001 - NR DISTRIBUIDORA DE MEDICAMENTOS LTDA;;;;;
12/01/2023;NOTA FISCAL N§ 711403 ;3152;0123-00000767;;110,38;110,38C
12/01/2023;NOTA FISCAL N§ 711403 ;3152;0123-00000952;;592,67;703,05C
16/01/2023;NOTA FISCAL N§ 711695 ;3152;0123-00001013;;412,15;1.115,20C
23/01/2023;NOTA FISCAL N§ 712340 ;3152;0123-00000784;;179,18;1.294,38C
23/01/2023;NOTA FISCAL N§ 712340 ;3152;0123-00000928;;151,36;1.445,74C
23/01/2023;NOTA FISCAL N§ 712290 ;3152;0123-00001002;;270,61;1.716,35C
02/02/2023;NOTA FISCAL N§ 713806 ;3152;0223-00000906;;394,31;2.110,66C
08/02/2023;NOTA FISCAL N§ 714346 ;3152;0223-00000902;;283,4;2.394,06C
16/02/2023;NOTA FISCAL N§ 715085 ;3152;0223-00000844;;308,17;2.702,23C
20/02/2023;NOTA FISCAL N§ 715310 ;3152;0223-00000708;;727,48;3.429,71C
20/02/2023;NOTA FISCAL N§ 715310 ;3152;0223-00000843;;2.270,77;5.700,48C
03/03/2023;NOTA FISCAL N§ 716694 ;3152;0323-00000976;;373,3;6.073,78C
09/03/2023;NOTA FISCAL N§ 717230 ;3152;0323-00000935;;260,7;6.334,48C
09/03/2023;NOTA FISCAL N§ 717295 ;3152;0323-00000959;;164,13;6.498,61C
14/03/2023;NOTA FISCAL N§ 717384 ;3152;0323-00000761;;478,02;6.976,63C
14/03/2023;NOTA FISCAL N§ 717955 ;3152;0323-00000893;;447,52;7.424,15C
14/03/2023;NOTA FISCAL N§ 717384 ;3152;0323-00000971;;803,96;8.228,11C
20/03/2023;NOTA FISCAL N§ 718326 ;3152;0323-00000927;;2.813,49;11.041,60C
21/03/2023;NOTA FISCAL N§ 718928 ;3152;0323-00000880;;316,59;11.358,19C
21/03/2023;NOTA FISCAL N§ 718844 ;3152;0323-00000972;;2.501,93;13.860,12C
04/04/2023;NOTA FISCAL N§ 720662 ;3152;0423-00000895;;384,83;14.244,95C
11/04/2023;NOTA FISCAL N§ 720815 ;3152;0423-00000898;;1.321,74;15.566,69C
14/04/2023;NOTA FISCAL N§ 721682 ;3152;0423-00000976;;961,55;16.528,24C
18/04/2023;NOTA FISCAL N§ 722028 ;3152;0423-00000899;;965,15;17.493,39C
19/04/2023;NOTA FISCAL N§ 722146 ;3152;0423-00000753;;450,59;17.943,98C
19/04/2023;NOTA FISCAL N§ 722146 ;3152;0423-00000915;;1.919,64;19.863,62C
05/05/2023;NOTA FISCAL N§ 723573 ;3152;0523-00001022;;508,93;20.372,55C
08/05/2023;NOTA FISCAL N§ 723831 ;3152;0523-00000801;;53,05;20.425,60C
08/05/2023;NOTA FISCAL N§ 723831 ;3152;0523-00001017;;1.756,78;22.182,38C
11/05/2023;NOTA FISCAL N§ 724518 ;3152;0523-00000962;;1.028,59;23.210,97C
18/05/2023;NOTA FISCAL N§ 725397 ;3152;0523-00001052;;466,63;23.677,60C
26/05/2023;NOTA FISCAL N§ 725862 ;3152;0523-00001048;;352,21;24.029,81C
01/06/2023;NOTA FISCAL N§ 727084 ;3152;0623-00000904;;259,95;24.289,76C
05/06/2023;NOTA FISCAL N§ 727169 ;3152;0623-00000884;;1.360,76;25.650,52C
09/06/2023;NOTA FISCAL N§ 727314 ;3152;0623-00000753;;26,38;25.676,90C
09/06/2023;NOTA FISCAL N§ 727314 ;3152;0623-00000894;;612,76;26.289,66C
13/06/2023;NOTA FISCAL N§ 727363 ;3152;0623-00000752;;315,24;26.604,90C
13/06/2023;NOTA FISCAL N§ 727363 ;3152;0623-00000871;;2.001,99;28.606,89C
15/06/2023;NOTA FISCAL N§ 728253 ;3152;0623-00000912;;351,91;28.958,80C
15/06/2023;NOTA FISCAL N§ 728252 ;3152;0623-00000979;;594,01;29.552,81C
06/07/2023;NOTA FISCAL N§ 730684 ;3152;0723-00000760;;12,52;29.565,33C
06/07/2023;NOTA FISCAL N§ 730552 ;3152;0723-00000902;;1.140,97;30.706,30C
